id,segment,RID,delivery type,class,sub-class,no of items,location,departure city,departure state,address code,placement date,delivery date,price,discount,profit
3003,Consumer,6178,Standard Class,kariox,watch,2,South,Columbia,South Carolina,29203,01-09-2019,01-09-2019,121.96,0,57.3212
3004,Consumer,6176,Standard Class,qexty,tshirts,4,South,Columbia,South Carolina,29203,01-09-2019,01-09-2019,1690.04,0,422.51
3005,Home Office,4619,Standard Class,qexty,tshirts,3,East,Everett,Massachusetts,2149,01-09-2019,01-09-2019,542.94,0,141.1644
3006,Home Office,3852,Same Day,qexty,shorts,2,East,Quincy,Massachusetts,2169,01-09-2019,01-09-2019,85.3,0,14.501
3007,Corporate,3032,Standard Class,kariox,television,1,Central,Lincoln Park,Michigan,48146,01-09-2019,01-09-2019,25.99,0,7.5371
3008,Corporate,3031,Standard Class,qexty,pants,4,Central,Lincoln Park,Michigan,48146,01-09-2019,01-09-2019,194.32,0,31.0912
3009,Home Office,2787,First Class,kariox,lighting,2,West,Los Angeles,California,90036,01-09-2019,01-09-2019,7.9,0,2.528
3010,Consumer,6184,Standard Class,kariox,laptop,8,South,Columbia,South Carolina,29203,01-09-2019,01-09-2019,887.84,0,17.7568
3011,Consumer,6177,Standard Class,kariox,laptop,7,South,Columbia,South Carolina,29203,01-09-2019,01-09-2019,85.96,0,24.0688
3012,Home Office,4618,Standard Class,fynota,colddrinks,2,East,Everett,Massachusetts,2149,01-09-2019,01-09-2019,589.9,0,147.475
3013,Consumer,8854,First Class,kariox,charger,5,East,Philadelphia,Pennsylvania,19143,01-09-2019,01-09-2019,55.6,0.2,6.255
3014,Home Office,5840,Second Class,kariox,phone,5,South,Arlington,Virginia,22204,01-09-2019,01-09-2019,32.4,0,15.552
3015,Consumer,4916,Second Class,kariox,headset,3,West,Seattle,Washington,98105,01-09-2019,01-09-2019,14.952,0.2,5.4201
3016,Consumer,4915,Second Class,kariox,television,2,West,Seattle,Washington,98105,01-09-2019,01-09-2019,35.96,0,10.4284
3017,Home Office,4074,First Class,fynota,colddrinks,6,Central,Broken Arrow,Oklahoma,74012,01-09-2019,01-09-2019,821.94,0,213.7044
3018,Home Office,3427,Standard Class,qexty,tshirts,10,Central,Dubuque,Iowa,52001,01-09-2019,01-09-2019,1408.1,0,394.268
3019,Home Office,3426,Standard Class,kariox,headset,4,Central,Dubuque,Iowa,52001,01-09-2019,01-09-2019,15.24,0,6.858
3020,Consumer,1628,Standard Class,qexty,tshirts,6,South,Lafayette,Louisiana,70506,01-09-2019,01-09-2019,517.5,0,155.25
3021,Corporate,1472,Second Class,kariox,television,2,East,Philadelphia,Pennsylvania,19120,01-09-2019,01-09-2019,6.848,0.2,0.5992
3022,Corporate,9043,Second Class,kariox,battery,3,West,Los Angeles,California,90049,01-09-2019,01-09-2019,61.44,0,16.5888
3023,Consumer,8855,First Class,fynota,chocolates,3,East,Philadelphia,Pennsylvania,19143,01-09-2019,01-09-2019,617.976,0.2,-7.7247
3024,Home Office,7807,Standard Class,kariox,headset,2,South,Franklin,Tennessee,37064,01-09-2019,01-09-2019,3.204,0.7,-2.5632
3025,Home Office,7806,Standard Class,kariox,television,2,South,Franklin,Tennessee,37064,01-09-2019,01-09-2019,2.816,0.2,0.3168
3026,Home Office,7805,Standard Class,kariox,laptop,1,South,Franklin,Tennessee,37064,01-09-2019,01-09-2019,25.424,0.2,-4.767
3027,Home Office,7804,Standard Class,kariox,laptop,4,South,Franklin,Tennessee,37064,01-09-2019,01-09-2019,720.064,0.2,-63.0056
3028,Home Office,7803,Standard Class,kariox,tablet,4,South,Franklin,Tennessee,37064,01-09-2019,01-09-2019,12,0.2,4.2
3029,Home Office,5841,Second Class,qexty,shorts,2,South,Arlington,Virginia,22204,01-09-2019,01-09-2019,47.98,0,11.0354
3030,Consumer,960,Same Day,qexty,shorts,2,West,Oceanside,California,92054,01-09-2019,01-09-2019,204.6,0,53.196
3031,Consumer,2272,Standard Class,kariox,laptop,6,West,Seattle,Washington,98105,01-09-2019,01-09-2019,199.74,0,47.9376
3032,Home Office,5051,Standard Class,kariox,phone,2,West,Des Moines,Washington,98198,01-09-2019,01-09-2019,18.54,0,8.7138
3033,Corporate,1418,First Class,fynota,chocolates,3,Central,Houston,Texas,77041,01-09-2019,01-09-2019,151.2,0.2,32.13
3034,Corporate,3734,Standard Class,kariox,headset,4,East,Clinton,Maryland,20735,01-09-2019,01-09-2019,65.08,0,31.8892
3035,Corporate,3733,Standard Class,fynota,colddrinks,7,East,Clinton,Maryland,20735,01-09-2019,01-09-2019,1259.93,0,327.5818
3036,Corporate,3732,Standard Class,fynota,colddrinks,1,East,Clinton,Maryland,20735,01-09-2019,01-09-2019,499.99,0,129.9974
3037,Corporate,3731,Standard Class,kariox,laptop,7,East,Clinton,Maryland,20735,01-09-2019,01-09-2019,636.86,0,0
3038,Corporate,3730,Standard Class,kariox,laptop,2,East,Clinton,Maryland,20735,01-09-2019,01-09-2019,41.96,0,7.9724
3039,Consumer,578,Second Class,kariox,charger,2,West,Long Beach,California,90805,01-09-2019,01-09-2019,7.3,0,2.19
3040,Corporate,3759,Standard Class,kariox,television,2,West,Los Angeles,California,90049,01-09-2019,01-09-2019,11.68,0,5.4896
3041,Consumer,577,Second Class,kariox,phone,4,West,Long Beach,California,90805,01-09-2019,01-09-2019,19.92,0,9.7608
3042,Consumer,5923,Standard Class,fynota,colddrinks,4,East,New York City,New York,10035,01-09-2019,01-09-2019,67.8,0,1.356
3043,Consumer,5922,Standard Class,kariox,phone,2,East,New York City,New York,10035,01-09-2019,01-09-2019,110.96,0,53.2608
3044,Consumer,5921,Standard Class,fynota,chocolates,2,East,New York City,New York,10035,01-09-2019,01-09-2019,659.9,0,217.767
3045,Consumer,5920,Standard Class,fynota,colddrinks,3,East,New York City,New York,10035,01-09-2019,01-09-2019,209.97,0,58.7916
3046,Consumer,5919,Standard Class,qexty,pants,5,East,New York City,New York,10035,01-09-2019,01-09-2019,2003.92,0.2,-25.049
3047,Corporate,5771,Standard Class,qexty,shorts,3,West,Los Angeles,California,90032,01-09-2019,01-09-2019,14.91,0,4.6221
3048,Consumer,576,Second Class,kariox,phone,14,West,Long Beach,California,90805,01-09-2019,01-09-2019,160.72,0,78.7528
3049,Corporate,3760,Standard Class,kariox,charger,2,West,Los Angeles,California,90049,01-09-2019,01-09-2019,16.9,0,5.07
3050,Corporate,3761,Standard Class,qexty,shorts,2,West,Los Angeles,California,90049,01-09-2019,01-09-2019,24.4,0,10.248
3051,Corporate,4976,Second Class,fynota,chocolates,9,South,Jacksonville,Florida,32216,01-09-2019,01-09-2019,717.12,0.2,152.388
3052,Corporate,1417,First Class,fynota,colddrinks,7,Central,Houston,Texas,77041,01-09-2019,01-09-2019,946.344,0.2,118.293
3053,Consumer,9146,Standard Class,kariox,headset,3,Central,Naperville,Illinois,60540,01-09-2019,01-09-2019,2.808,0.8,-4.4928
3054,Consumer,8437,Standard Class,kariox,headset,11,West,Las Vegas,Nevada,89115,01-09-2019,01-09-2019,45.584,0.2,16.5242
3055,Consumer,8210,Standard Class,kariox,laptop,4,South,Nashville,Tennessee,37211,01-09-2019,01-09-2019,294.368,0.2,-58.8736
3056,Consumer,8209,Standard Class,kariox,headset,6,South,Nashville,Tennessee,37211,01-09-2019,01-09-2019,1369.764,0.7,-913.176
3057,Corporate,8062,Standard Class,kariox,headset,2,East,Long Beach,New York,11561,01-09-2019,01-09-2019,24.448,0.2,8.8624
3058,Corporate,8061,Standard Class,kariox,phone,5,East,Long Beach,New York,11561,01-09-2019,01-09-2019,61.4,0,28.858
3059,Consumer,8037,First Class,kariox,headset,6,East,Lawrence,Massachusetts,1841,01-09-2019,01-09-2019,37.68,0,16.956
3060,Home Office,9599,Standard Class,qexty,shorts,3,West,Sacramento,California,95823,01-09-2019,01-09-2019,60.84,0,19.4688
3061,Home Office,9306,Standard Class,kariox,television,5,West,Santa Fe,New Mexico,87505,01-09-2019,01-09-2019,8.4,0,2.184
3062,Consumer,6629,Second Class,fynota,colddrinks,14,East,New York City,New York,10024,01-09-2019,01-09-2019,279.86,0,134.3328
3063,Corporate,6169,Second Class,kariox,phone,2,West,Los Angeles,California,90008,01-09-2019,01-09-2019,22.96,0,11.2504
3064,Corporate,5107,Standard Class,fynota,chocolates,4,South,Columbus,Georgia,31907,01-09-2019,01-09-2019,66.36,0,23.226
3065,Home Office,1303,Second Class,qexty,pants,2,South,Arlington,Virginia,22204,01-09-2019,01-09-2019,61.96,0,4.3372
3066,Consumer,5619,First Class,kariox,laptop,4,West,San Diego,California,92105,01-09-2019,01-09-2019,443.92,0,8.8784
3067,Corporate,1419,First Class,qexty,shorts,4,Central,Houston,Texas,77041,01-09-2019,01-09-2019,4.928,0.6,-1.4784
3068,Corporate,5772,Standard Class,kariox,battery,4,West,Los Angeles,California,90032,01-09-2019,01-09-2019,1158.12,0,335.8548
3069,Corporate,1422,Standard Class,kariox,battery,2,West,Mesa,Arizona,85204,01-09-2019,01-09-2019,60.672,0.2,14.4096
3070,Consumer,9152,Second Class,kariox,television,2,West,Avondale,Arizona,85323,01-09-2019,01-09-2019,14.576,0.2,2.3686
3071,Home Office,6959,Second Class,kariox,laptop,1,West,San Francisco,California,94110,01-09-2019,01-09-2019,15.51,0,4.3428
3072,Consumer,3437,First Class,qexty,shorts,3,Central,Chicago,Illinois,60610,01-09-2019,01-09-2019,24.288,0.6,-12.7512
3073,Consumer,3436,First Class,kariox,headset,2,Central,Chicago,Illinois,60610,01-09-2019,01-09-2019,15.08,0.8,-22.62
3074,Consumer,5120,Standard Class,kariox,headset,9,East,Oceanside,New York,11572,01-09-2019,01-10-2019,79.056,0.2,28.6578
3075,Consumer,5119,Standard Class,fynota,sweets,7,East,Oceanside,New York,11572,01-09-2019,01-10-2019,629.93,0,296.0671
3076,Consumer,5118,Standard Class,kariox,lighting,3,East,Oceanside,New York,11572,01-09-2019,01-10-2019,34.44,0,16.1868
3077,Home Office,6960,Second Class,kariox,phone,3,West,San Francisco,California,94110,01-09-2019,01-09-2019,146.82,0,73.41
3078,Consumer,2556,Standard Class,fynota,chocolates,2,East,New York City,New York,10035,01-09-2019,01-09-2019,50,0,12
3079,Home Office,2497,Standard Class,kariox,laptop,3,West,San Diego,California,92037,01-09-2019,01-10-2019,64.17,0,18.6093
3080,Consumer,1650,Second Class,fynota,colddrinks,1,East,Philadelphia,Pennsylvania,19143,01-09-2019,01-09-2019,45.894,0.4,-9.1788
3081,Consumer,1649,Second Class,kariox,headset,6,East,Philadelphia,Pennsylvania,19143,01-09-2019,01-09-2019,121.104,0.7,-100.92
3082,Corporate,1426,Standard Class,kariox,laptop,4,West,Mesa,Arizona,85204,01-09-2019,01-09-2019,363.648,0.2,-86.3664
3083,Corporate,1425,Standard Class,fynota,colddrinks,5,West,Mesa,Arizona,85204,01-09-2019,01-09-2019,263.96,0.2,23.0965
3084,Corporate,1424,Standard Class,kariox,laptop,6,West,Mesa,Arizona,85204,01-09-2019,01-09-2019,119.904,0.2,-1.4988
3085,Home Office,2498,Standard Class,kariox,watch,2,West,San Diego,California,92037,01-09-2019,01-10-2019,124.46,0,58.4962
3086,Home Office,6961,Second Class,kariox,phone,2,West,San Francisco,California,94110,01-09-2019,01-09-2019,12.96,0,6.2208
3087,Corporate,7215,Second Class,kariox,television,5,Central,Detroit,Michigan,48205,01-09-2019,01-09-2019,16.4,0,4.756
3088,Corporate,7216,Second Class,kariox,phone,4,Central,Detroit,Michigan,48205,01-09-2019,01-09-2019,25.92,0,12.4416
3089,Consumer,5918,Standard Class,qexty,pants,6,East,New York City,New York,10035,01-09-2019,01-09-2019,4228.704,0.2,158.5764
3090,Corporate,9455,Standard Class,fynota,colddrinks,2,West,Los Angeles,California,90032,01-09-2019,01-10-2019,36.784,0.2,-8.2764
3091,Corporate,9454,Standard Class,kariox,charger,3,West,Los Angeles,California,90032,01-09-2019,01-10-2019,47.19,0,13.6851
3092,Corporate,9453,Standard Class,kariox,headset,6,West,Los Angeles,California,90032,01-09-2019,01-10-2019,81.792,0.2,26.5824
3093,Corporate,9452,Standard Class,kariox,battery,3,West,Los Angeles,California,90032,01-09-2019,01-10-2019,186.15,0,55.845
3094,Consumer,8163,Second Class,fynota,colddrinks,2,East,New York City,New York,10035,01-09-2019,01-10-2019,307.98,0,89.3142
3095,Consumer,8162,Second Class,kariox,battery,6,East,New York City,New York,10035,01-09-2019,01-10-2019,293.52,0,76.3152
3096,Consumer,4935,Standard Class,kariox,lighting,3,West,Aurora,Colorado,80013,01-09-2019,01-10-2019,4.512,0.2,0.846
3097,Consumer,4934,Standard Class,kariox,headset,2,West,Aurora,Colorado,80013,01-09-2019,01-10-2019,1.08,0.7,-0.792
3098,Consumer,4933,Standard Class,kariox,watch,1,West,Aurora,Colorado,80013,01-09-2019,01-10-2019,12.536,0.2,4.2309
3099,Corporate,2255,First Class,kariox,battery,2,West,San Francisco,California,94110,01-09-2019,01-10-2019,43.56,0,15.246
3100,Corporate,2254,First Class,kariox,battery,3,West,San Francisco,California,94110,01-09-2019,01-10-2019,43.26,0,14.2758
3101,Corporate,8928,Second Class,kariox,television,5,West,Seattle,Washington,98103,01-09-2019,01-09-2019,99.2,0,25.792
3102,Consumer,7847,Standard Class,fynota,colddrinks,12,South,Arlington,Virginia,22204,01-09-2019,01-10-2019,1871.88,0,561.564
3103,Consumer,7846,Standard Class,kariox,phone,5,South,Arlington,Virginia,22204,01-09-2019,01-10-2019,154.9,0,69.705
3104,Corporate,1423,Standard Class,kariox,headset,9,West,Mesa,Arizona,85204,01-09-2019,01-09-2019,77.031,0.7,-59.0571
3105,Consumer,7742,Second Class,fynota,colddrinks,2,West,Tucson,Arizona,85705,01-09-2019,01-09-2019,35.12,0.2,13.17
3106,Corporate,1421,Standard Class,kariox,headset,2,West,Mesa,Arizona,85204,01-09-2019,01-09-2019,72.588,0.7,-48.392
3107,Consumer,286,Standard Class,kariox,phone,6,West,Portland,Oregon,97206,01-09-2019,01-10-2019,31.104,0.2,10.8864
3108,Consumer,5597,Standard Class,kariox,headset,2,East,Concord,New Hampshire,3301,01-09-2019,01-09-2019,68.62,0,32.2514
3109,Consumer,2447,Standard Class,kariox,watch,2,West,Los Angeles,California,90004,01-09-2019,01-10-2019,17.48,0,8.2156
3110,Home Office,1697,Second Class,fynota,colddrinks,2,East,Bayonne,New Jersey,7002,01-09-2019,01-09-2019,104.98,0,52.49
3111,Home Office,1696,Second Class,kariox,headset,3,East,Bayonne,New Jersey,7002,01-09-2019,01-09-2019,14.46,0,7.0854
3112,Home Office,1695,Second Class,fynota,chocolates,4,East,Bayonne,New Jersey,7002,01-09-2019,01-09-2019,63.96,0,19.8276
3113,Consumer,25,Standard Class,qexty,hoodies,3,West,Orem,Utah,84057,01-09-2019,01-09-2019,1044.63,0,240.2649
3114,Corporate,5726,First Class,fynota,chocolates,9,East,New York City,New York,10011,01-09-2019,01-09-2019,899.91,0,395.9604
3115,Consumer,9919,Standard Class,kariox,watch,1,East,New York City,New York,10035,01-09-2019,01-09-2019,39.98,0,17.991
3116,Consumer,9573,Same Day,kariox,tablet,1,East,Columbus,Ohio,43229,01-09-2019,01-09-2019,24.424,0.2,7.9378
3117,Consumer,9572,Same Day,kariox,watch,2,East,Columbus,Ohio,43229,01-09-2019,01-09-2019,15.84,0.2,5.544
3118,Consumer,9571,Same Day,kariox,laptop,2,East,Columbus,Ohio,43229,01-09-2019,01-09-2019,33.568,0.2,1.6784
3119,Consumer,9570,Same Day,kariox,headset,6,East,Columbus,Ohio,43229,01-09-2019,01-09-2019,6.732,0.7,-4.488
3120,Consumer,9154,Second Class,kariox,television,7,West,Avondale,Arizona,85323,01-09-2019,01-09-2019,16.464,0.2,1.8522
3121,Consumer,9153,Second Class,fynota,chocolates,2,West,Avondale,Arizona,85323,01-09-2019,01-09-2019,23.2,0.2,1.45
3122,Consumer,9574,Same Day,kariox,television,5,East,Columbus,Ohio,43229,01-09-2019,01-09-2019,17.12,0.2,1.926
3123,Consumer,6450,Standard Class,kariox,headset,2,East,Meriden,Connecticut,6450,01-09-2019,01-09-2019,10.76,0,5.1648
3124,Consumer,6451,Standard Class,kariox,phone,2,East,Meriden,Connecticut,6450,01-09-2019,01-09-2019,45.68,0,21.0128
3125,Consumer,6452,Standard Class,kariox,television,1,East,Meriden,Connecticut,6450,01-09-2019,01-09-2019,6.7,0,2.211
3126,Consumer,285,Standard Class,fynota,chocolates,5,West,Portland,Oregon,97206,01-09-2019,01-10-2019,239.8,0.2,47.96
3127,Consumer,284,Standard Class,kariox,phone,5,West,Portland,Oregon,97206,01-09-2019,01-10-2019,141.76,0.2,47.844
3128,Consumer,282,Second Class,fynota,colddrinks,7,Central,Houston,Texas,77070,01-09-2019,01-09-2019,1114.4,0.2,376.11
3129,Consumer,281,Second Class,kariox,headset,5,Central,Houston,Texas,77070,01-09-2019,01-09-2019,2.08,0.8,-3.432
3130,Consumer,9437,Same Day,kariox,headset,2,East,Philadelphia,Pennsylvania,19143,01-09-2019,01-09-2019,2.946,0.7,-2.0622
3131,Consumer,9269,Same Day,kariox,phone,3,East,Freeport,New York,11520,01-09-2019,01-09-2019,20.04,0,9.6192
3132,Consumer,9268,Same Day,qexty,tshirts,1,East,Freeport,New York,11520,01-09-2019,01-09-2019,102.582,0.1,6.8388
3133,Corporate,8217,Standard Class,kariox,headset,2,South,Murfreesboro,Tennessee,37130,01-09-2019,01-10-2019,3.264,0.7,-2.2848
3134,Corporate,8216,Standard Class,kariox,headset,1,South,Murfreesboro,Tennessee,37130,01-09-2019,01-10-2019,2.469,0.7,-1.8106
3135,Corporate,8215,Standard Class,kariox,phone,1,South,Murfreesboro,Tennessee,37130,01-09-2019,01-10-2019,10.48,0.2,3.799
3136,Corporate,8214,Standard Class,kariox,headset,4,South,Murfreesboro,Tennessee,37130,01-09-2019,01-10-2019,6.336,0.7,-4.6464
3137,Corporate,7839,Standard Class,fynota,chocolates,2,West,Seattle,Washington,98103,01-09-2019,01-09-2019,159.98,0,57.5928
3138,Corporate,7838,Standard Class,kariox,tablet,2,West,Seattle,Washington,98103,01-09-2019,01-09-2019,12.6,0,5.796
3139,Corporate,7837,Standard Class,qexty,tshirts,4,West,Seattle,Washington,98103,01-09-2019,01-09-2019,307.136,0.2,-11.5176
3140,Consumer,7590,Standard Class,kariox,television,7,Central,Rockford,Illinois,61107,01-09-2019,01-09-2019,128.744,0.2,12.8744
3141,Corporate,1420,Standard Class,kariox,phone,4,West,Mesa,Arizona,85204,01-09-2019,01-09-2019,86.272,0.2,31.2736
3142,Consumer,5917,Standard Class,kariox,laptop,4,East,New York City,New York,10035,01-09-2019,01-09-2019,94.6,0,27.434
3143,Home Office,6901,Standard Class,fynota,chocolates,7,East,New York City,New York,10009,01-09-2019,01-09-2019,559.93,0,167.979
3144,Consumer,5915,Standard Class,kariox,tablet,7,East,New York City,New York,10035,01-09-2019,01-09-2019,87.71,0,41.2237
3145,Consumer,4109,Same Day,qexty,hoodies,3,East,New York City,New York,10011,01-09-2019,01-09-2019,27.414,0.4,-14.1639
3146,Consumer,4108,Same Day,kariox,laptop,2,East,New York City,New York,10011,01-09-2019,01-09-2019,13.96,0,0.2792
3147,Consumer,2806,Standard Class,qexty,tshirts,2,Central,El Paso,Texas,79907,01-09-2019,01-09-2019,47.516,0.3,-2.0364
3148,Consumer,146,Standard Class,kariox,laptop,7,West,Pasadena,California,91104,01-09-2019,01-09-2019,671.93,0,20.1579
3149,Consumer,9981,Second Class,qexty,hoodies,1,South,Lafayette,Louisiana,70506,01-09-2019,01-09-2019,85.98,0,22.3548
3150,Corporate,8791,Standard Class,kariox,headset,9,South,Richmond,Virginia,23223,01-09-2019,01-09-2019,46.62,0,21.4452
3151,Corporate,5009,Standard Class,kariox,headset,1,East,Philadelphia,Pennsylvania,19134,01-09-2019,01-09-2019,9.522,0.7,-6.9828
3152,Corporate,6355,Standard Class,fynota,colddrinks,2,East,New York City,New York,10011,01-09-2019,01-09-2019,337.98,0,101.394
3153,Home Office,6257,Second Class,kariox,headset,1,South,Tamarac,Florida,33319,01-09-2019,01-09-2019,3.444,0.7,-2.5256
3154,Corporate,4985,Standard Class,kariox,lighting,5,South,Nashville,Tennessee,37211,01-09-2019,01-09-2019,7.24,0.2,1.1765
3155,Home Office,3420,Standard Class,qexty,tshirts,2,East,New York City,New York,10024,01-09-2019,01-09-2019,271.764,0.1,60.392
3156,Corporate,2536,First Class,fynota,chocolates,4,West,La Quinta,California,92253,01-09-2019,01-09-2019,46.32,0,18.0648
3157,Home Office,2204,Standard Class,qexty,shorts,3,West,Seattle,Washington,98103,01-09-2019,01-09-2019,191.82,0,74.8098
3158,Home Office,2203,Standard Class,kariox,headset,2,West,Seattle,Washington,98103,01-09-2019,01-09-2019,6.096,0.2,2.1336
3159,Corporate,6354,Standard Class,kariox,battery,1,East,New York City,New York,10011,01-09-2019,01-09-2019,8.39,0,2.0975
3160,Corporate,5010,Standard Class,fynota,colddrinks,6,East,Philadelphia,Pennsylvania,19134,01-09-2019,01-09-2019,791.964,0.4,-131.994
3161,Corporate,5011,Standard Class,kariox,headset,3,East,Philadelphia,Pennsylvania,19134,01-09-2019,01-09-2019,4.923,0.7,-3.9384
3162,Corporate,6790,Second Class,kariox,television,4,South,Durham,North Carolina,27707,01-09-2019,01-09-2019,140.736,0.2,12.3144
3163,Consumer,7205,Standard Class,kariox,television,2,East,New York City,New York,10024,01-09-2019,01-09-2019,6.08,0,2.0672
3164,Consumer,5765,Second Class,kariox,laptop,6,West,Seattle,Washington,98103,01-09-2019,01-09-2019,353.88,0,17.694
3165,Corporate,3468,Standard Class,kariox,phone,9,East,Revere,Massachusetts,2151,01-09-2019,01-09-2019,278.82,0,125.469
3166,Corporate,3467,Standard Class,qexty,pants,2,East,Revere,Massachusetts,2151,01-09-2019,01-09-2019,361.96,0,83.2508
3167,Corporate,3466,Standard Class,kariox,battery,2,East,Revere,Massachusetts,2151,01-09-2019,01-09-2019,61.96,0,16.1096
3168,Consumer,2631,Standard Class,kariox,phone,3,Central,Tulsa,Oklahoma,74133,01-09-2019,01-09-2019,14.94,0,7.0218
3169,Consumer,581,Standard Class,kariox,charger,4,West,Los Angeles,California,90004,01-09-2019,01-09-2019,51.52,0,1.5456
3170,Corporate,6255,Standard Class,qexty,shorts,8,South,Montgomery,Alabama,36116,01-09-2019,01-09-2019,21.36,0,8.1168
3171,Consumer,5058,First Class,kariox,laptop,6,West,Moreno Valley,California,92553,01-09-2019,01-09-2019,41.88,0,0.8376
3172,Consumer,5057,First Class,kariox,phone,5,West,Moreno Valley,California,92553,01-09-2019,01-09-2019,26.4,0,11.88
3173,Corporate,8631,Standard Class,kariox,lighting,4,East,New York City,New York,10011,01-09-2019,01-09-2019,7.24,0,2.3892
3174,Corporate,8630,Standard Class,qexty,hoodies,2,East,New York City,New York,10011,01-09-2019,01-09-2019,481.176,0.4,-120.294
3175,Corporate,8629,Standard Class,kariox,headset,2,East,New York City,New York,10011,01-09-2019,01-09-2019,6.096,0.2,2.0574
3176,Corporate,8628,Standard Class,fynota,chocolates,5,East,New York City,New York,10011,01-09-2019,01-09-2019,90,0,16.2
3177,Corporate,8627,Standard Class,kariox,laptop,3,East,New York City,New York,10011,01-09-2019,01-09-2019,70.26,0,18.9702
3178,Home Office,6674,Standard Class,qexty,shorts,4,South,Charlottesville,Virginia,22901,01-09-2019,01-09-2019,67.96,0,12.2328
3179,Corporate,7491,Standard Class,qexty,shorts,6,West,Los Angeles,California,90032,01-09-2019,01-09-2019,106.68,0,33.0708
3180,Corporate,5283,Standard Class,kariox,phone,3,Central,Rochester,Minnesota,55901,01-09-2019,01-09-2019,36.84,0,17.3148
3181,Home Office,4490,Standard Class,kariox,headset,3,Central,Houston,Texas,77036,01-09-2019,01-09-2019,4.47,0.8,-7.8225
3182,Corporate,1739,Standard Class,fynota,chocolates,2,West,San Francisco,California,94122,01-09-2019,01-09-2019,17.9,0,3.401
3183,Corporate,1738,Standard Class,kariox,laptop,3,West,San Francisco,California,94122,01-09-2019,01-09-2019,31.44,0,8.4888
3184,Consumer,531,Standard Class,kariox,watch,6,East,Philadelphia,Pennsylvania,19134,01-09-2019,01-09-2019,52.512,0.2,19.692
3185,Consumer,530,Standard Class,kariox,charger,1,East,Philadelphia,Pennsylvania,19134,01-09-2019,01-09-2019,666.248,0.2,-149.9058
3186,Consumer,529,Standard Class,kariox,laptop,3,East,Philadelphia,Pennsylvania,19134,01-09-2019,01-09-2019,36.336,0.2,-7.2672
3187,Corporate,84,Standard Class,kariox,watch,7,South,Durham,North Carolina,27707,01-09-2019,01-09-2019,200.984,0.2,62.8075
3188,Corporate,1740,Standard Class,fynota,chocolates,5,West,San Francisco,California,94122,01-09-2019,01-09-2019,129.45,0,46.602
3189,Home Office,2819,Standard Class,kariox,laptop,6,East,Franklin,Massachusetts,2038,01-09-2019,01-09-2019,1088.76,0,315.7404
3190,Home Office,2817,Standard Class,qexty,tshirts,1,East,Franklin,Massachusetts,2038,01-09-2019,01-09-2019,60.74,0,15.185
3191,Home Office,2816,Standard Class,kariox,headset,5,East,Franklin,Massachusetts,2038,01-09-2019,01-09-2019,114.6,0,51.57
3192,Consumer,337,Second Class,kariox,headset,4,West,Los Angeles,California,90045,01-09-2019,01-09-2019,14.368,0.2,4.49
3193,Consumer,336,Second Class,fynota,fastfood,2,West,Los Angeles,California,90045,01-09-2019,01-09-2019,959.984,0.2,335.9944
3194,Consumer,335,Second Class,kariox,headset,1,West,Los Angeles,California,90045,01-09-2019,01-09-2019,4.752,0.2,1.6038
3195,Consumer,5916,Standard Class,qexty,tshirts,2,East,New York City,New York,10035,01-09-2019,01-09-2019,199.764,0.1,8.8784
3196,Home Office,2818,Standard Class,qexty,shorts,2,East,Franklin,Massachusetts,2038,01-09-2019,01-09-2019,124.36,0,27.3592
3197,Corporate,1859,First Class,kariox,battery,2,East,Bristol,Connecticut,6010,01-09-2019,01-09-2019,137.62,0,60.5528
3198,Corporate,1860,First Class,fynota,colddrinks,1,East,Bristol,Connecticut,6010,01-09-2019,01-09-2019,100.49,0,25.1225
3199,Corporate,2840,Second Class,kariox,laptop,1,East,New York City,New York,10009,01-09-2019,01-09-2019,120.33,0,31.2858
3200,Home Office,4488,Standard Class,kariox,headset,5,Central,Houston,Texas,77036,01-09-2019,01-09-2019,16.27,0.8,-25.2185
3201,Consumer,1763,Standard Class,qexty,pants,3,West,San Diego,California,92105,01-09-2019,01-09-2019,293.199,0.15,-20.6964
3202,Consumer,1762,Standard Class,kariox,headset,6,West,San Diego,California,92105,01-09-2019,01-09-2019,28.752,0.2,9.7038
3203,Consumer,1761,Standard Class,qexty,pants,4,West,San Diego,California,92105,01-09-2019,01-09-2019,411.332,0.15,-4.8392
3204,Corporate,5496,Standard Class,kariox,headset,4,East,Philadelphia,Pennsylvania,19140,01-09-2019,01-09-2019,7.656,0.7,-6.1248
3205,Corporate,4617,Second Class,fynota,chocolates,3,Central,Houston,Texas,77095,01-09-2019,01-09-2019,134.376,0.2,6.7188
3206,Corporate,4258,Standard Class,kariox,headset,2,West,Medford,Oregon,97504,01-09-2019,01-09-2019,9.762,0.7,-6.8334
3207,Consumer,1121,Standard Class,kariox,watch,2,South,Roswell,Georgia,30076,01-09-2019,01-09-2019,15.28,0,7.4872
3208,Consumer,1120,Standard Class,kariox,phone,2,South,Roswell,Georgia,30076,01-09-2019,01-09-2019,4.36,0,2.0492
3209,Consumer,1119,Standard Class,fynota,chocolates,5,South,Roswell,Georgia,30076,01-09-2019,01-09-2019,619.95,0,111.591
3210,Consumer,1118,Standard Class,kariox,phone,5,South,Roswell,Georgia,30076,01-09-2019,01-09-2019,279.9,0,137.151
